CEA, carcinoembryonic antigen,,
CF, cystic fibrosis,,
CFTR, cystic fibrosis transmembrane regulator,,
CHD, congenital heart disease,,
CHF, congestive heart failure,,
CI, cardiac index,,
CIN, cervical intraepithelial neoplasia,,
CIS, carcinoma in situ,,
CK, creatine kinase,,
CK-MB, serum creatine kinase  myocardial-bound,,
CLL, chronic lymphocytic leukemia,,
CMT, certified medication technician,,
CMV, cytomegalovirus,,
CNS, central nervous system,,
CO, cardiac output,,
CO2, carbon dioxide,,
COLD, chronic obstructive lung disease,,
COMT, catechol-O-methyltransferase,,
COPD, chronic obstructive pulmonary disease,,
COX-2, cyclooxygenase 2 inhibitors,,
CP, cerebral palsy; cleft palate,,
CPAP, continuous positive airway pressure,,
CPC, clinicopathologic conference,,
CPD, cephalopelvic disproportion,,
CPHSS, Cincinnati Prehospital Stroke Scale,,
CPK, creatine phosphokinase,,
CPM, continuous passive motion,,
CPR, cardiopulmonary resuscitation,,
CR, conditioned reflex; controlled release; crown-rump length,,
CREST, calcinosis raynaud phenomenon esophageal dysfunction sclerodactyly  telangiectasia,,
CRP, c. reactive protein,,
CS, cardiogenic shock; cesarean section; culture and sensitivity,,
CSF, cerebrospinal fluid; colony-stimulating factor,,
CSH, combat support hospital,,
CT,computed tomography,,
CV, cardiovascular,,
CVA,cerebrovascular accident,,
CVC, central venous catheter,,
CVP, central venous pressure,,
CVRB, critical value read back,,
CVS, chorionic villi sampling,,
CXR, chest x-ray,,
D5W, 5% dextrose in water,,
DBP, diastolic blood pressure,,
DC, direct current; doctor of chiropractic,,
DEXA, dual-energy x-ray absorptiometry,,
DFV, Doppler flow velocimetry,,
DHT, dihydrotestosterone,,
DI, diabetes insipidus,,
DIC, disseminated intravascular coagulation,,
DJD, degenerative joint disease,,
DKA, diabetic ketoacidosis,,
DM, diabetes mellitus,,
DMARD, disease-modulating antirheumatic drug,,
DNA, deoxyribonucleic acid,,
DNH, do not hospitalize,,
DNR, do not resuscitate,,
DOA, dead on arrival,,
DOB, date of birth,,
DOE, dyspnea on exertion,,
DPT, diphtheria-pertussis-tetanus (vaccine),,
DRE, digital rectal examination,,
DRG, diagnosis-related group,,
DVT, deep vein thrombosis,,
D5W, dextrose 5% in water,,
DWI, driving while intoxicated,,
EBV, Epstein-Barr virus,,
ECF, extended care facility; extracellular fluid,,
ECG, electrocardiogram,,
ECHO, echocardiography,,
ECMO, extracorporeal membrane oxygenation,,
ECT, electroconvulsive therapy,,
ED, emergency department,,
EDD, estimated date of delivery,,
EEG, electroencephalogram,,
EF, ejection fraction,,
EGD, esophagogastroduodenoscopy,,
EIA, enzyme immunosorbent assay,,
EKG, electrocardiogram; electrocardiograph,,
ELISA, enzyme-linked immunosorbent assay,,
EMG, electromyogram,,
EMS, emergency medical service,,
ENT, ear nose throat,,
EOM, extraocular muscles,,
EP, extrapyramidal,,
EPS, extrapyramidal symptoms,,
ER, Emergency Room,,
ERCP, endoscopic retrograde cholangiopancreatography,,
ESR, erythrocyte sedimentation rate,,
ESRD, end-stage renal disease,,
EST, electroshock therapy,,
ESWL, extracorporeal shock wave lithotripsy,,
ET-1, endothelin-1,,
F, Fahrenheit,,
FA, fatty acid,,
FAP, familial adenomatous polyposis,,
FBS, fasting blood sugar,,
FD, fatal dose; focal distance,,
FDA, (U.S.) Food and Drug Administration,,
FEV, forced expiratory volume,,
FFP, fresh frozen plasma,,
FHT, fetal heart tone,,
FISH, fluorescence in situ hybridization,,
FP, family practice; family practitioner,,
FSH, follicle-stimulating hormone,,
FTT, failure to thrive,,
FUO, fever of unknown origin,,
GABA, gamma-aminobutyric acid,,
GABAB, gamma-aminobutyric acid type B,,
GABRB3, GABA,,
GB, gallbladder,,
GC, gonococcus or gonorrheal,,
GDM, gestational diabetes mellitus,,
GDS, Geriatric Depression Scale,,
GERD, gastroesophageal reflux disease,,
GFR, glomerular filtration rate,,
GGT, gamma-glutamyl transferase,,
GH, growth hormone,,
GI, gastrointestinal,,
GP, general practitioner,,
G6PD, glucose-6-phosphate dehydrogenase,,
GRAS, generally recognized as safe,,
GSW, gunshot wound,,
GTT, glucose tolerance test,,
GU, genitourinary,,
GVHD, graft-versus-host disease,,
GYN, gynecology,,
H, hydrogen,,
H&H, hematocrit and hemoglobin,,
H1N1, hemagglutinin type 1 and neuraminidase type 1,,
H2, histamine 2,,
HAART, highly active antiretroviral therapy,,
HAV, hepatitis A virus,,
HBV, hepatitis B virus,,
HCG, human chorionic gonadotropin,,
HCP, health care professional,,
HCV, hepatitis C virus,,
HD, hearing distance,,
HDL, high-density lipoprotein,,
HDV, hepatitis D,,
HELLP, hemolysis elevated liver enzymes platelets, elevated liver enzymes, low platelets
HEPA, high-efficiency particulate air,,
HER2, human EGF (epidermal growth factor) receptor 2,,
HEV, hepatitis E,,
HF, heart failure,,
HGSIL, high-grade squamous intraepithelial lesion,,
HIDA, hepatobiliary iminodiacetic acid (cholescintigraphy),,
HIV, human immunodeficiency virus,,
HLA, human leukocyteantigen,,
HOB, head of bed,,
H2O, water,,
H2O2, hydrogen peroxide,,
HPI, history of present illness,,
HPV, human papillomavirus,,
HR, heart rate,,
HRT, hormone replacement therapy,,
HSIL, high-grade squamous intraepithelial lesion,,
HSV, herpes simplex virus,,
HTLV-III, human T lymphotropic virus type III,,
HTN, hypertension,,
I, iodine,,
131I, radioactive isotope of iodine,,
132I, radioactive isotope of iodine,,
I&O, intake and output,,
IBW, ideal body weight,,
IC, inspiratory capacity,,
ICD, implantable cardioverter defibrillator,,
ICP, intracranial pressure,,
ICS, intercostal space,,
ICSH, interstitial cell-stimulating hormone,,
ICU, intensive care unit,,
IDDM, insulin-dependent diabetes mellitus,,
IDM, infants of diabetic mothers,,
IED, improvised explosive device,,
IL-1, interleukin 1,,
IL-8, interleukin 8,,
IM, intramuscular,,
INF, interferon,,
INR, international normalized ratio,,
IOP, intraocular pressure,,
IPPB, intermittent positive pressure breathing,,
IQ, intelligence quotient,,
IRV, inspiratory reserve volume,,
IUCD, intrauterine contraceptive device,,
IUD, intrauterine device,,
IUFD, intrauterine fetal death,,
IV, intravenous,,
IVP, intravenous pyelogram,,
J, joule,,
JRA, juvenile rheumatoid arthritis,,
K, potassium,,
KI, potassium iodine,,
KOH, potassium hydroxide,,
KS, Kaposi sarcoma,,
KUB, kidney ureter bladder,,
KVO, keep vein open,,
L, liter,,
L&D, labor and delivery,,
LBW, low birth weight,,
LD50, lethal dose, median,
LDH, lactate dehydrogenase,,
LDL, low-density lipoprotein,,
LE, lower extremity; lupus erythematosus,,
LEEP, loop electrosurgical excision procedure,,
LFT, liver function test,,
LGA, large for gestational age,,
LH, luteinizing hormone,,
LLE, left lower extremity,,
LLL, left lower lobe,,
LLQ, left lower quadrant,,
LOC, level/loss of consciousness,,
LP, lumbar puncture,,
LR, lactated Ringer,,
LSIL, low-grade squamous epithelial lesion,,
LTD, lowest tolerated dose,,
LUE, left upper extremity,,
LUL, left upper lobe,,
LUQ, left upper quadrant,,
LV, left ventricle,,
LVAD, left ventricular assist device,,
LVH, left ventricular hypertrophy,,
M, master; medicine; molar; thousand; muscle,,
MA, mental age,,
MAO-B, monoamine oxidase-B,,
MAP, mean arterial pressure,,
MAT, Miller Analogies Test,,
MBD, minimal brain dysfunction,,
MCH, mean corpuscular hemoglobin,,
MCHC, mean corpuscular hemoglobin concentration,,
MCV, mean corpuscular volume,,
MD, muscular dystrophy,,
MDI, metered-dose inhaler,,
MED, minimum effective dose,,
MELD, Model for End-Stage Liver Disease,,
MG, myasthenia gravis,,
MI, myocardial infarction,,
MID, minimum infective dose,,
MLD, minimum lethal dose,,
MLF, medial longitudinal fasciculus,,
MM, mucous membrane; multiple myeloma,,
MMR, measles-mumps-rubella (vaccine),,
MMSE, Mini-Mental Status Examination,,
MPC, maximum permitted concentration,,
MPN, most probable number,,
MRA, magnetic resonance angiography,,
MRI, magnetic resonance imaging,,
MS, mitral stenosis; multiple sclerosis,,
MV, mitral valve,,
MVA, motor vehicle accident,,
MVC, motor vehicle collision,,
N, nitrogen,,
N/A, not applicable,,
NAD, no acute distress,,
NGT, nasogastric tube,,
NICU, neonatal intensive care unit,,
NIDDM, noninsulin-dependent diabetes mellitus,,
NK, natural killer,,
NKA, no known allergies,,
NMDA,N-methyl D-aspartate,,
NMJ, neuromuscular junction,,
NMS, neuroleptic malignant syndrome,,
NS, normal saline,,
NSAID, nonsteroidal anti-inflammatory drug,,
NSR, normal sinus rhythm,,
 N/V, nausea and vomiting,,
O2, oxygen,,
OB, obstetrics,,
OCD, obsessive-compulsive disorder,,
OR, operating room,,
ORIF, open reduction with/and internal fixation,,
OT, occupational therapy,,
OTC, over-the-counter,,
PACU, postanesthesia care unit,,
PAD, peripheral arterial disease,,
PALS, pediatric advanced life support,,
P-ANCA, perinuclear antineutrophil cytoplasmic antibody,,
PCA, patient-controlled analgesia,,
PCOS, polycystic ovarian syndrome,,
PCP,primary care physician,,
PCR, polymerase chain reaction,,
PCWP, pulmonary capillary wedge pressure,,
PD,peritoneal dialysis,,
PDA, patent ductus arteriosus,,
PE,pulmonary embolism,,
PEG, percutaneous endoscopic gastrostomy,,
PET, positron emission tomography,,
PFT, pulmonary function test,,
PICC, peripherally inserted central catheter,,
PID, pelvic inflammatory disease,,
PIP, proximal interphalangeal,,
PKU, phenylketonuria,,
PM, afternoon/evening,,
PMH, past medical history,,
PMN, polymorphonuclear neutrophil leukocytes,,
PMS, premenstrual syndrome,,
PND, paroxysmal nocturnal dyspnea,,
PNH, paroxysmal nocturnal hemoglobinuria,,
PPD, purified protein derivative (TB test),,
PSA, prostate-specific antigen,,
PT, prothrombin time; physical therapy,,
PTT, partial thromboplastin time,,
PVC, premature ventricular contraction,,
PVR, peripheral vascular resistance,,
RA, rheumatoid arthritis,,
RAI, radioactive iodine,,
RAIU, radioactive iodine uptake,,
RBC, red blood cell,,
RDS, respiratory distress syndrome,,
REM, rapid eye movement,,
RF, rheumatoid factor,,
RLE, right lower extremity,,
RLL, right lower lobe,,
RLQ, right lower quadrant,,
RML, right middle lobe of lung,,
RNA, ribonucleic acid,,
R/O, rule out,,
ROM, range of motion,,
ROS, review of systems,,
RPM, revolutions per minute,,
RR,respiratory rate,,
RSV, respiratory syncytial virus,,
RT,respiratory therapy,,
RUE, right upper extremity,,
RUL, right upper lobe,,
RUQ, right upper quadrant,,
S, sacral,,
SA, sinoatrial,,
SBP, systolic blood pressure,,
SCI, spinal cord injury,,
SERM, selective estrogen receptor modulator,,
SGA, small for gestational age,,
SIADH, syndrome of inappropriate diuretic hormone,,
SIDS, sudden infant death syndrome,,
SJS, Stevens-Johnson syndrome,,
SLE, systemic lupus erythematosus,,
SLP, speech-language pathology,,
SNF, skilled nursing facility,,
SNRI, serotonin and norepinephrine reuptake inhibitor,,
SOB, shortness of breath,,
SPECT, single-photon emission computed tomography,,
SSRI, selective serotonin reuptake inhibitor,,
SSS, sick sinus syndrome,,
STD, sexually transmitted disease,,
STS, serologic test for syphilis,,
SV,supraventricular,,
SVC, superior vena cava,,
TAH, total abdominal hysterectomy,,
TB,tuberculosis,,
TEE, transesophageal echocardiogram,,
TENS, transcutaneous electrical nerve stimulation,,
THR, total hip replacement,,
TIA, transient ischemic attack,,
TIBC, total iron-binding capacity,,
TM, tympanic membrane,,
TMJ, temporomandibular joint,,
TNF, tumor necrosis factor,,
TNF-I, tumor necrosis factor inhibitor,,
TNM, tumor-node-metastasis,,
TPN, total parenteral nutrition,,
TPO, thyroid peroxidase,,
TSH, thyroid-stimulating hormone,,
TUMA, transurethral microwave antenna,,
TURP, transurethral resection of the prostate,,
UA, urinalysis,,
UC, ulcerative colitis,,
UE, upper extremity,,
UHF, ultrahigh frequency,,
URI, upper respiratory infection,,
US, ultrasound,,
UTI, urinary tract infection,,
UV, ultraviolet,,
VD, venereal disease,,
VDRL, Venereal Disease Research Laboratories,,
VF, ventricular fibrillation,,
VLBW, very low birth weight,,
VLDL, very low density lipoprotein,,
VMA, vanillylmandelic acid,,
V/Q, ventilation/perfusion,,
VSD, ventricular septal defect,,
VT, ventricular tachycardia,,
VZIG, varicella zoster immune globulin,,
WBC, white blood cell; white blood count,,
WNL, within normal limits,,
